,Title,Company,Location,Salary,Summary
360,Front Office Associate / Assistant,Novotel,"Ahmedabad, Gujarat",Nan,"The hotel has an On-site government authorized liquor store ‘The Liquor Shop’, with a stellar collection of more than 300 domestic and international labels."
361,"Associate, Microbiology",Baxter International,"Ahmedabad, Gujarat",Nan,"If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please send an e…"
362,Computer Operator cum Office Assistant,Hi – Tech Hospital & Healthcare Corporation Ltd,"Gorakhpur, Uttar Pradesh",150000.0,We are looking for an computer operator to handle a variety of work of store department. Assist with day to day operations.
363,Interior Designer,DevX,"Ahmedabad, Gujarat",480000.0,You will deal with design from conceptual development and liaising with the stakeholders to managing and executing the design. Produce sample and mood products.
364,Deputy Secretary,Institute Of Chartered Accountant,"New Delhi, Delhi",0,"ICAI holds the right to relax the eligibility criteria for deserving candidates and its decision regarding Eligibility, shortlisting of candidates, the conduct…"
365,Sports Persons,East Central Railway,"Vaishali, Bihar",0,"For the post Of Pay Level 2/3 (Basic Pay e 19900/21700)- 12""' pass or equivalent or higher education front recognized Boardb. Vaishali Last Date to Apply :"
366,Project/Field Assistant,Sardar patel Renewable Energy Research Institute (...,"Anand, Gujarat",0,"Minimum 3 years of experience in implementing S &T based ssocietal projects. Bachelor in Mechanical, Chemical or Environment engineering /Agriculture/Renewable…"
367,Domestic BPO International BPO Hiring For Fresher,Jobs explorer,India,180000.0,"Domestic BPO International BPO Hiring For Fresher in Call Center. 12th Pass Minimum 6 month BPO Exp. Hiring For Voice process, Salary 10K to 20K."
368,Accounts Executive,allister biotech,"Kolkata, West Bengal",102500.0,"All male / Female candidates must be B Com, with vast knowledge of Tally . Looking after accounts and financial administration."
369,AM HSBC Advance,HSBC,"New Delhi, Delhi",Nan,"Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that…"
370,Accounts Executive,MODERN V.R. SECURITY FORCE (I) PVT. LTD.,"Kolhapur, Maharashtra",234000.0,"Payroll, Daily Vouchers entries, BRS, Recruitment, Store, Cash Job Type: Full-time Salary: ₹18,000.00 to ₹21,000.00 /month Experience: * Accounts: 1 year …"
371,SHIFT INCHARGE,Injectoplast,"Kanpur, Uttar Pradesh",Nan,"Candidate should have minimum work experience of 3 years in Shop Floor of a Manufacturing Industry, preferably moulding section."
372,Office Assistant or Helper,SAMSUNG,"Moradabad, Uttar Pradesh",453000.0,"Job time 8 hours 10am to 6 pm, living fooding cab service interested candidate apply. Open Vacancy in Samsung electronics in pan India location."
373,[Government] Coordinator in National Institute of Fashion Te...,National Institute of Fashion Technology (NIFT),India,0,"16 vacancies (UR-08, EWS-01, OBC-04, SC-02, ST-01) (PWD-01), Pay Level-7 of 7th CPC starting ₹44900/-. Http://nift.ac.in/careers for more detailed information."
374,"Post Graduate Teacher, Trained Graduate Teacher & Primary Te...",karunya christian school,"Coimbatore, Tamil Nadu",600000.0,"B.Com - Commerce, BCA - Computers, B.B.A / B.M.S - Management, B.Sc - Electronics, Environmental science, Bio-Chemistry, Maths, Biology, Microbiology, Botany,…"
375,Us it recruiters,Ava placement SERVICES,"Mayur Vihar, Delhi, Delhi",0,Us it recruiter Salary 40k Upto Exp 2+years Location mayur vihar delhi Gender Male Interested candidate call us 9997239085 Job Type: Full…
376,Agriculture Graduate Trainee,Indian Farmers Fertilisers Cooperative Limited (IF...,"New Delhi, Delhi",0,Relaxable by 5 years for SC/ST category and 3 years for OBC-NCL. Indian Farmers Fertilisers Cooperative Limited (IFFCO) requires Agriculture Graduate Trainee …
377,Need Fresher Or Experience Candidates For Data Entry Typist,Freelancer Deepak 2,"Mumbai, Maharashtra",207000.0,Fresher Are Most Welcome Male Female Both Apply This Job Salary - 12000 - to 22500 - Defend on Interview Good Communication Skill Besic Computer Knowledge…
378,Production Supervisor,Talent Leads Consultants,"Bhopal, Madhya Pradesh",1350000.0,Manage the team of workers on the production shift.Responsible for operating / stopping the line - Assignment of tasks to each employee in order to move…
379,Project Coordinator,Samcom Technobrains,"Ahmedabad, Gujarat",Nan, Plus point if you have knowledge of DevOps and GitLab.  Work only up to 05-00 pm on other Saturdays.  Expert in client communication.
380,Supervisor-Compliance,Franklin Templeton Investments,Andhra Pradesh,Nan,"We invite you to visit us at http://www.franklintempletoncareers.com/ to learn more about our company and our career opportunities. Aug 28, 2019, 4:40:27 AM."
381,Office Assistant or Helper,MARUTI SUZUKI LTD COMPANY,"Jaipur, Rajasthan",324000.0,"Great Opportunity ,Work With Maruti Suzuki, Maruti Is Amazing Place To Work With Great People, An Outstanding Environment, Extensive Support For Employees, And…"
382,E-Commerce Executive,Micronet Infocom and Logisitcs pvt ltd,"Kailash, Delhi",400000.0,We ensure that you receive exceptional service at all times. Apart from the company technical description below is the ecommerce venture profile we are looking…
383,Contract SPL,Accenture,India,Nan,Supports Accenture Business onshore Legal teams or Legal Services Professionals or Contract Management in accomplishing assigned tasks related to Contracting…
384,Bulk hiring in Stores/Warehouse in Pharma injectable company,CIRON DRUGS AND PHARMACEUTICAL PVT. LTD,"Boisar, Thane, Maharashtra",300000.0,Bulk hiring in Stores /Warehouse in*. Officer / Senior Officer / Executive / Senior executive. Min 1.6 Yrs - 7 yrs.
385,PURCHASE EXECUTIVE,Apollo Micro Systems,India,Nan,Experience in procurement of electronic components & mechanical raw materials. Written and oral communication skills desired.
386,Document Controller,Lex Proficio,"Bolpur, West Bengal",54000.0,We are in urgent need for candidates. Need to verify various documents by visiting clients. Need to prepare visit report.
387,Receptionist,Team Computers,India,Nan,"Nature of business and urgency of situation. Communication of messages, receiving phone calls, transferring calls, using judgment calls regarding."
388,Finance Executive,Techjockey.com,"South Malviya Nagar, Delhi",258000.0,Required to study the financial transactions made by the organization and prepare financial reports based on the available data.
389,In Mizoram required Teachers - from Nursery to 12th,Lakshya Educare Pvt. Ltd (CA/CS Coaching),"Aizawl, Mizoram",340000.0,Maintaining productive working habits and discipline in the classroom. Act as a counselor to guide them about the Opportunities that students can gather after…
390,Packing Supervisor,Honda....... Manpower,"Azamgarh, Uttar Pradesh",191772.0,We are looking for a warehouse worker to participate in our warehouse operations and activities. Keep a clean and safe working environment and optimise space…
391,Admin Coordinator,Synopsys,"Noida, Uttar Pradesh",Nan,"Able to multi-task and maintain professionalism while working with a variety of confidential information. Working knowledge of Word, Excel, and PowerPoint is…"
392,New Openings Data Entry Operator Fresher Staff,Planeer Technologies Pvt Ltd,"Sahaspur, Uttarakhand",210000.0,Give the regular Detail of business. We are hiring for Data Operator Clerk. The candidate should have fundamental learning of computer and help together…
393,Data Mining,Axpertino Private Limited - Kharadi - Pune,"Pune, Maharashtra",252000.0,"Create, Extract, Clean, Analyse, Visualize. Create, Extract, Clean, Analyse, Visualize."
394,School Admin Assistant/Transport Incharge(Male),"Global School ,South Delhi","Delhi, Delhi",330000.0,Job Summary Handling Administrative responsibilities of the school Manpower Handling Transport management Required Experience and Qualifications School…
395,Network Administrator,Immply India Technology Pvt Ltd,"Pune, Maharashtra",0,Should have knowledge of installation / Trouble shootingof Windows /Linux OS. 2)Should have experience on Firewall(Preferred Fortigate ).
396,Data Entry Operator,Servicecare,"Bengaluru, Karnataka",198000.0,Required for our client at Bannergatta Main Road. To carryout typing activities as per client requirement. Graduate with minimum 45 w p m typing speed required.
397,Facility Executive,Workspace,"Pune, Maharashtra",Nan,"To achieve Client Satisfaction, best in class, month on month. Please find below our company details and Job Description."
398,Fresher In Jio Company 9773718366,Freelancer Sunil Shantaram Kamble Hiring For Freel...,"Navi Mumbai, Maharashtra",384000.0,Company name - Reliance jio company ltdQualification - 10th 12th Diploma Degree ITI Salary 18500 45 500 per month Food Room living foodingLocation - All m p…
399,System Administrator,Orion Networks Solution,"Nagpur, Maharashtra",210000.0,"Note - Employment will be subject to verification of all certificates, current employment and salary. We are currently seeking a motivated, promising, career…"
400,back office executive,BALAJI MULTI-FLEX PVT. LTD.,"Rajkot, Gujarat",Nan,Job Summary Designation : - Back office executive Education : - B.B.A./M.B.A./Graduation Experience : - Fresh or 06 months Skill : - English knowledge…
401,Store Executive,"Ravi Plast Mold Private Limited, Vatva","Ahmedabad, Gujarat",186000.0,"Ensure that the Store is Clean, Safe and Presentable for Customers. Overall Operation Management of Store. Overall Responsible for Company outlet operations."
402,Data Entry Operator(DEO),LTS International,"Pandav Nagar, Delhi, Delhi",227400.0,Give the regular Detail of business. We are Looking Data Entry Operator. The Data Entry Operator will ensure the accuracy of data entries and perform clerical…
403,Private Secretary,Serious Fraud Investigation Office (SFIO),"New Delhi, Delhi",93650.0,"Deendayal Antyodaya Bhawan B3 Wing, CGO Complex, Lodhi Road, New Delhi-110003. Government of India Serious Fraud Investigation Office 2nd Floor, Pt."
404,Operation Executive,Endeavor Careers Pvt Ltd,"Ahmedabad, Gujarat",0,9:30 AM to 6:30 PM OR 10:00 AM to 7:00 PM. Candidate should be open for travel Once in 3 Months for center Audit. We are 6 days working MONDAY to SATURDAY.
405,Looking for chill out candidate working for Netflix process,Angel consultancy,"Mumbai, Maharashtra",Nan,Looking for 100 candidate to join our company for Netflix inbound process and joiner will get goodies l.so hurry up and call immediately.
406,Law Officer,Hindustan Petroleum Corporation Limited (HPCL),"Mumbai, Maharashtra",1440000.0,3-year full time course in law after graduation or 5 year course in law after 12th Standard. Candidates should possess excellent written/verbal communication…
407,Accounts Officer,Society for Applied Microwave Electronics Engineer...,"Mumbai, Maharashtra",0,"Walk In Test/ Walk In Interview. Walk In Interview Accounts Officer: Provided that the SAMEER may, if satisfied that such a marriage is permissible under the…"
